"","entrezgene","gene.symbol","chromosome","description","type.of.gene","rapdb","msu"
"21597","107278352","LOC107278352","6","probable glycosyltransferase At5g25310","protein-coding","Os06g0176100","None"
"21598","107276588","LOC107276588","6","uncharacterized LOC107276588","protein-coding","Os06g0176150","None"
"21599","4340286","LOC4340286","6","hydroxyproline O-galactosyltransferase HPGT3","protein-coding","Os06g0176200","LOC_Os06g07905"
"21600","9272431","LOC9272431","6","protein SRG1","protein-coding","Os06g0176500","LOC_Os06g07923"
"21601","4340290","LOC4340290","6","uncharacterized LOC4340290","protein-coding","Os06g0176700","LOC_Os06g07932"
"21602","107275791","LOC107275791","6","cystathionine beta-lyase, chloroplastic","protein-coding","Os06g0176900","None"
"21603","9268052","LOC9268052","6","cytochrome b-c1 complex subunit 8","protein-coding","Os06g0177000","LOC_Os06g07969"
"21604","107278560","LOC107278560","6","proteasome subunit alpha type-4-1","protein-coding","Os06g0177100","LOC_Os06g07978"
"21605","107277993","LOC107277993","6","probable glycosyltransferase At5g25310","protein-coding","Os06g0177200","LOC_Os06g07887"
"21606","107276589","LOC107276589","6","uncharacterized LOC107276589","protein-coding","Os06g0177250","LOC_Os06g07896"
"21607","107275810","LOC107275810","6","hydroxyproline O-galactosyltransferase HPGT3","protein-coding","Os06g0177300","LOC_Os06g08005"
"21608","4340292","LOC4340292","6","protein SRG1","protein-coding","Os06g0177700","LOC_Os06g08023"
"21609","9270348","LOC9270348","6","protein SRG1","protein-coding","Os06g0178500","LOC_Os06g08032"
"21610","9266216","LOC9266216","6","protein SRG1","protein-coding","Os06g0178650","LOC_Os06g08041"
"21611","4340297","LOC4340297","6","protein SRG1","protein-coding","Os06g0178700","LOC_Os06g08060"
"21612","4340298","LOC4340298","6","pyrophosphate-energized vacuolar membrane proton pump","protein-coding","Os06g0178900","LOC_Os06g08080"
"21613","4340299","LOC4340299","6","heparanase-like protein 3","protein-coding","Os06g0179000","LOC_Os06g08090"
"21614","107277545","LOC107277545","6","uncharacterized LOC107277545","protein-coding","Os06g0179100","LOC_Os06g08100"
"21615","4340300","LOC4340300","6","protein NUCLEAR FUSION DEFECTIVE 4","protein-coding","Os06g0179200","LOC_Os06g08110"
"21616","4340302","LOC4340302","6","putative UPF0481 protein At3g02645","protein-coding","Os06g0179500","LOC_Os06g08120"
"21617","4340303","LOC4340303","6","probable protein phosphatase 2C 54","protein-coding","Os06g0179700","LOC_Os06g08140"
"21618","4340305","LOC4340305","6","putative glycerol-3-phosphate transporter 5","protein-coding","Os06g0179900","LOC_Os06g08170"
"21619","4340306","LOC4340306","6","hydroxyproline O-arabinosyltransferase 1","protein-coding","Os06g0180000","LOC_Os06g08180"
"21620","4340309","LOC4340309","6","uncharacterized LOC4340309","protein-coding","Os06g0181100","LOC_Os06g08280"
"21621","4340310","LOC4340310","6","uncharacterized LOC4340310","protein-coding","Os06g0181300","LOC_Os06g08290"
"21622","4340311","LOC4340311","6","putative thiamine biosynthesis oxidoreductase ThiO","protein-coding","Os06g0181400","LOC_Os06g08300"
"21623","9268459","LOC9268459","6","60S ribosomal protein L39-3-like","protein-coding","Os06g0181566","LOC_Os06g08320"
"21624","4340313","LOC4340313","6","ethylene-responsive transcription factor ERF003","protein-coding","Os06g0181700","LOC_Os06g08340"
"21625","107277189","LOC107277189","6","uncharacterized LOC107277189","protein-coding","Os06g0181800","LOC_Os06g08350"
"21626","9269065","LOC9269065","6","deSI-like protein At4g17486","protein-coding","Os06g0182100","LOC_Os06g08360"
"21627","4340315","LOC4340315","6","callose synthase 5","protein-coding","Os06g0182300","LOC_Os06g08380"
"21628","4340316","LOC4340316","6","uncharacterized LOC4340316","protein-coding","Os06g0182400","LOC_Os06g08390"
"21629","4340317","LOC4340317","6","protein DA1-related 1","protein-coding","Os06g0182500","LOC_Os06g08400"
"21630","4340320","LOC4340320","6","two-component response regulator ORR22-like","protein-coding","Os06g0183100","LOC_Os06g08440"
"21631","107276745","LOC107276745","6","probable histidine kinase 2","protein-coding","Os06g0183200","LOC_Os06g08450"
"21632","107277137","LOC107277137","6","exocyst complex component EXO70A1","protein-coding","Os06g0183600","LOC_Os06g08460"
"21633","4340322","LOC4340322","6","uncharacterized LOC4340322","protein-coding","Os06g0183700","LOC_Os06g08470"
"21634","9268973","LOC9268973","6","CHD3-type chromatin-remodeling factor PICKLE","protein-coding","Os06g0183800","LOC_Os06g08480"
"21635","4340324","LOC4340324","6","protein RTF2 homolog","protein-coding","Os06g0183900","LOC_Os06g08490"
"21636","107275733","LOC107275733","6","transcription factor bHLH66","protein-coding","Os06g0184000","LOC_Os06g08500"
"21637","4340325","LOC4340325","6","uncharacterized LOC4340325","protein-coding","Os06g0184100","LOC_Os06g08510"
"21638","112939352","LOC112939352","6","protein POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND REDISTRIBUTION-like","protein-coding","Os06g0184200","LOC_Os06g08520"
"21639","4340327","LOC4340327","6","ubiquitin carboxyl-terminal hydrolase 23","protein-coding","Os06g0184300","LOC_Os06g08530"
"21640","4340328","LOC4340328","6","formin-like protein 6","protein-coding","Os06g0184400","LOC_Os06g08540"
"21641","4340329","LOC4340329","6","BTB/POZ domain-containing protein NPY1","protein-coding","Os06g0184500","LOC_Os06g08550"
"21642","4340330","LOC4340330","6","uncharacterized LOC4340330","protein-coding","Os06g0184600","None"
"21643","4340331","LOC4340331","6","ABC transporter C family member 13","protein-coding","Os06g0184700","LOC_Os06g08560"
"21644","4340332","LOC4340332","6","hydrophobic protein OSR8-like","protein-coding","Os06g0184800","LOC_Os06g08564"
"21645","9268329","LOC9268329","6","pentatricopeptide repeat-containing protein At3g25210, mitochondrial","protein-coding","Os06g0184866","LOC_Os06g08570"
"21646","4340333","LOC4340333","6","putrescine hydroxycinnamoyltransferase 1-like","protein-coding","Os06g0184900","LOC_Os06g08580"
"21647","4340334","LOC4340334","6","NADPH-dependent aldehyde reductase-like protein, chloroplastic","protein-coding","Os06g0185100","LOC_Os06g08600"
"21648","9268895","LOC9268895","6","putrescine hydroxycinnamoyltransferase 2-like","protein-coding","Os06g0185300","LOC_Os06g08610"
"21649","4340338","LOC4340338","6","hydroxycinnamoyltransferase 4-like","protein-coding","Os06g0185500","LOC_Os06g08640"
"21650","4340339","LOC4340339","6","pentatricopeptide repeat-containing protein At2g03380, mitochondrial","protein-coding","Os06g0185700","LOC_Os06g08650"
"21651","4340340","LOC4340340","6","pentatricopeptide repeat-containing protein At4g30700","protein-coding","Os06g0185800","LOC_Os06g08660"
"21652","4340341","LOC4340341","6","probable phospholipid hydroperoxide glutathione peroxidase","protein-coding","Os06g0185900","LOC_Os06g08670"
"21653","9269236","LOC9269236","6","putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g24130","protein-coding","Os06g0185966","None"
"21654","107276838","LOC107276838","6","putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g24130","protein-coding","Os06g0186100","LOC_Os06g08690"
"21655","4340343","LOC4340343","6","putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g24130","protein-coding","Os06g0186300","LOC_Os06g08710"
"21656","4340344","LOC4340344","6","serine carboxypeptidase II-2","protein-coding","Os06g0186400","LOC_Os06g08720"
"21657","4340345","LOC4340345","6","AUGMIN subunit 3","protein-coding","Os06g0186500","LOC_Os06g08730"
"21658","4340346","LOC4340346","6","uncharacterized LOC4340346","protein-coding","Os06g0186600","LOC_Os06g08740"
"21659","4340347","LOC4340347","6","probable folate-biopterin transporter 2","protein-coding","Os06g0186700","LOC_Os06g08750"
"21660","4340348","LOC4340348","6","ruvB-like 2","protein-coding","Os06g0186900","LOC_Os06g08770"
"21661","4340349","LOC4340349","6","origin of replication complex subunit 1-like","protein-coding","Os06g0187000","LOC_Os06g08790"
"21662","107276136","LOC107276136","6","trimethylguanosine synthase","protein-coding","Os06g0187100","LOC_Os06g08800"
"21663","4340350","LOC4340350","6","UDP-glucuronate 4-epimerase 1","protein-coding","Os06g0187200","LOC_Os06g08810"
"21664","107277525","LOC107277525","6","RING-H2 finger protein ATL13","protein-coding","Os06g0187300","LOC_Os06g08820"
"21665","4340351","LOC4340351","6","UDP-glycosyltransferase 73B4","protein-coding","Os06g0187500","LOC_Os06g08830"
"21666","4340353","LOC4340353","6","serine/arginine-rich splicing factor RSZ21A-like","protein-coding","Os06g0187900","LOC_Os06g08840"
"21667","4340354","LOC4340354","6","cyclic nucleotide-gated ion channel 17","protein-coding","Os06g0188000","LOC_Os06g08850"
"21668","4340355","LOC4340355","6","UDP-galactose/UDP-glucose transporter 7","protein-coding","Os06g0188100","LOC_Os06g08860"
"21669","4340356","LOC4340356","6","glutamate receptor 2.8","protein-coding","Os06g0188250","None"
"21670","9269324","LOC9269324","6","glutamate receptor 2.5","protein-coding","Os06g0188600","LOC_Os06g08890"
"21671","107275732","LOC107275732","6","glutamate receptor 2.9","protein-coding","Os06g0188700","LOC_Os06g08900"
"21672","4340361","LOC4340361","6","uncharacterized LOC4340361","protein-coding","Os06g0189600","LOC_Os06g08990"
"21673","107275256","LOC107275256","6","uncharacterized LOC107275256","protein-coding","Os06g0189600","LOC_Os06g08990"
"21674","9271597","LOC9271597","6","glutamate receptor 2.8","protein-coding","Os06g0190500","LOC_Os06g09090"
"21675","9267556","LOC9267556","6","glutamate receptor 2.8","protein-coding","Os06g0190700","LOC_Os06g09120"
"21676","4340363","LOC4340363","6","glutamate receptor 2.8","protein-coding","Os06g0190800","LOC_Os06g09130"
"21677","4340366","LOC4340366","6","DNA-dependent metalloprotease WSS1","protein-coding","Os06g0191200","LOC_Os06g09170"
"21678","4340367","LOC4340367","6","mitogen-activated protein kinase kinase 5","protein-coding","Os06g0191300","LOC_Os06g09180"
"21679","4340368","LOC4340368","6","mitogen-activated protein kinase kinase 5","protein-coding","Os06g0191500","LOC_Os06g09190"
"21680","4340369","LOC4340369","6","cytochrome P450 709B2","protein-coding","Os06g0191700","LOC_Os06g09210"
"21681","4340371","LOC4340371","6","U-box domain-containing protein 52","protein-coding","Os06g0191900","LOC_Os06g09230"
"21682","4340373","LOC4340373","6","anthocyanidin 3-O-glucosyltransferase","protein-coding","Os06g0192100","LOC_Os06g09240"
"21683","4340374","LOC4340374","6","hydroxyproline O-galactosyltransferase GALT3","protein-coding","Os06g0192400","LOC_Os06g09270"
"21684","4340375","LOC4340375","6","pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10","protein-coding","Os06g0192500","LOC_Os06g09280"
"21685","4340376","LOC4340376","6","26S proteasome regulatory subunit 7A-like","protein-coding","Os06g0192600","LOC_Os06g09290"
"21686","4340377","LOC4340377","6","RING-H2 finger protein ATL3","protein-coding","Os06g0192800","LOC_Os06g09310"
"21687","4340378","LOC4340378","6","uncharacterized LOC4340378","protein-coding","Os06g0192900","LOC_Os06g09320"
"21688","4340379","LOC4340379","6","ubiquitin-conjugating enzyme E2 34","protein-coding","Os06g0193000","LOC_Os06g09330"
"21689","4340380","LOC4340380","6","pectinesterase","protein-coding","Os06g0193200","LOC_Os06g09340"
"21690","4340381","LOC4340381","6","uncharacterized LOC4340381","protein-coding","Os06g0193300","LOC_Os06g09350"
"21691","4340382","LOC4340382","6","transcription factor bHLH82","protein-coding","Os06g0193400","LOC_Os06g09370"
"21692","4340383","LOC4340383","6","ethylene-responsive transcription factor 1-like","protein-coding","Os06g0194000","LOC_Os06g09390"
"21693","4340385","LOC4340385","6","B3 domain-containing protein Os06g0194400-like","protein-coding","Os06g0194400","LOC_Os06g09420"
"21694","4340386","LOC4340386","6","sucrose synthase 2-like","protein-coding","Os06g0194900","LOC_Os06g09450"
"21695","4340387","LOC4340387","6","phosphoinositide phosphatase SAC3","protein-coding","Os06g0195600","LOC_Os06g09540"
"21696","4340388","LOC4340388","6","dnaJ homolog subfamily B member 6","protein-coding","Os06g0195800","LOC_Os06g09560"
"21697","4340389","LOC4340389","6","nucleolar GTP-binding protein 1","protein-coding","Os06g0195900","LOC_Os06g09570"
"21698","4340390","LOC4340390","6","uncharacterized LOC4340390","protein-coding","Os06g0196200","LOC_Os06g09600"
"21699","4340391","LOC4340391","6","putative peroxiredoxin Q, chloroplastic","protein-coding","Os06g0196300","LOC_Os06g09610"
"21700","9266717","LOC9266717","6","serine/arginine repetitive matrix protein 1","protein-coding","Os06g0196500","LOC_Os06g09620"
"21701","4340392","LOC4340392","6","3-oxoacyl-[acyl-carrier-protein] synthase I, chloroplastic","protein-coding","Os06g0196600","LOC_Os06g09630"
"21702","9270361","LOC9270361","6","auxin response factor 16-like","protein-coding","Os06g0196700","LOC_Os06g09660"
"21703","4340394","LOC4340394","6","20 kDa chaperonin, chloroplastic","protein-coding","Os06g0196900","LOC_Os06g09679"
"21704","107275374","LOC107275374","6","ethylene-responsive transcription factor ERF039","protein-coding","Os06g0197200","None"
"21705","4340398","LOC4340398","6","uncharacterized LOC4340398","protein-coding","Os06g0198500","LOC_Os06g09820"
"21706","9266408","LOC9266408","6","uncharacterized LOC9266408","protein-coding","Os06g0198600","LOC_Os06g09830"
"21707","4340400","LOC4340400","6","uncharacterized LOC4340400","protein-coding","Os06g0198700","LOC_Os06g09840"
"21708","9271327","LOC9271327","6","25.3 kDa vesicle transport protein","protein-coding","Os06g0198800","LOC_Os06g09850"
"21709","4340402","LOC4340402","6","pollen receptor-like kinase 3","protein-coding","Os06g0198900","LOC_Os06g09860"
"21710","4340403","LOC4340403","6","glycine-rich cell wall structural protein 2-like","protein-coding","Os06g0199000","LOC_Os06g09870"
"21711","4340404","LOC4340404","6","U4 spliceosomal RNA","protein-coding","Os06g0199050","None"
"21712","4340405","LOC4340405","6","polyadenylate-binding protein-interacting protein 7","protein-coding","Os06g0199200","LOC_Os06g09890"
"21713","107278582","LOC107278582","6","uncharacterized LOC107278582","protein-coding","Os06g0199402","LOC_Os06g09900"
"21714","4340408","LOC4340408","6","phosphopantothenoylcysteine decarboxylase-like","protein-coding","Os06g0199500","LOC_Os06g09910"
"21715","4340409","LOC4340409","6","G-protein coupled receptor 1","protein-coding","Os06g0199800","LOC_Os06g09930"
"21716","4340413","LOC4340413","6","uncharacterized LOC4340413","protein-coding","Os06g0200800","LOC_Os06g09980"
"21717","4340414","LOC4340414","6","uncharacterized LOC4340414","protein-coding","Os06g0201000","LOC_Os06g10000"
"21718","4340415","LOC4340415","6","uncharacterized LOC4340415","protein-coding","Os06g0201200","LOC_Os06g10020"
"21719","107278564","LOC107278564","6","uncharacterized LOC107278564","protein-coding","Os06g0201500","LOC_Os06g10050"
"21720","4340416","LOC4340416","6","uncharacterized LOC4340416","protein-coding","Os06g0202100","LOC_Os06g10100"
"21721","4340417","LOC4340417","6","uncharacterized LOC4340417","protein-coding","Os06g0202300","LOC_Os06g10109"
"21722","4340418","LOC4340418","6","uncharacterized LOC4340418","protein-coding","Os06g0202400","None"
"21723","4340420","LOC4340420","6","uncharacterized LOC4340420","protein-coding","Os06g0202700","LOC_Os06g10130"
"21724","4340422","LOC4340422","6","serine/threonine-protein kinase RIPK","protein-coding","Os06g0202900","LOC_Os06g10160"
"21725","4340424","LOC4340424","6","probable flavin-containing monooxygenase 1","protein-coding","Os06g0203200","LOC_Os06g10170"
"21726","9267059","LOC9267059","6","UMP-CMP kinase 4-like","protein-coding","Os06g0203500","LOC_Os06g10200"
"21727","4340426","LOC4340426","6","fatty-acid-binding protein 2","protein-coding","Os06g0203600","LOC_Os06g10210"
"21728","107276491","LOC107276491","6","uncharacterized LOC107276491","protein-coding","Os06g0203700","LOC_Os06g10220"
"21729","107278053","LOC107278053","6","uncharacterized LOC107278053","protein-coding","Os06g0203701","None"
"21730","4340427","LOC4340427","6","LRR receptor-like serine/threonine-protein kinase ERECTA","protein-coding","Os06g0203800","LOC_Os06g10230"
"21731","4340428","LOC4340428","6","choline/ethanolaminephosphotransferase 1","protein-coding","Os06g0204400","LOC_Os06g10280"
"21732","107276671","LOC107276671","6","growth-regulating factor 2","protein-coding","Os06g0204800","LOC_Os06g10310"
